max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
3046.16,83,27,0,22,0,0,0,0,0,0,0,0,0,0,"방화동로,양천로,양천로1길",3800,5,1.3
2246.49,73,59,0,0,0,0,0,0,0,0,0,0,0,0,"양천로1길,금낭화로,방화대로47길",3800,6,1.4
1927.636353,10,5,13,0,0,0,0,0,0,0,0,0,0,0,"방화대로,양천로,-",4900,13,2.7
1222.06,63,0,0,0,0,0,0,0,0,0,0,0,0,0,"올림픽대로,-,-",3800,2,0.845
2145.0,68,20,8,0,6,0,0,0,0,0,0,0,0,0,"개화동로,양천로,양천로1길",3800,3,1.2
2374.02,253,147,72,111,0,0,0,0,0,0,0,0,0,0,"양천로1길,방화대로47길,올림픽대로",6700,14,5.9
4048.08,119,14,29,11,0,0,0,0,0,0,0,0,0,0,"방화대로,양천로,양천로30길",3800,7,1.4
2359.0,65,31,8,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,방화대로40길,방화대로",3800,4,1.2
1582.67,117,15,5,0,0,0,0,0,0,0,0,0,0,0,"방화대로,양천로,양천로3길",3800,4,1.2
1139.18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로1길,양천로7길,양천로3길",3800,1,0.332
2393.94,62,80,4,0,0,0,0,0,0,0,0,0,0,0,"양천로3길,양천로,양천로23길",3800,5,1.1
4136.0,23,64,34,2,27,0,0,0,0,0,0,0,0,0,"양천로,마곡중앙로,마곡중앙5로",4000,7,2.2
1627.6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서로,마곡중앙5로,마곡서1로",3800,5,1
1934.15,85,36,69,0,0,0,0,0,0,0,0,0,0,0,"방화대로,양천로,양천로1길",3800,7,2.1
2754.18,12,47,0,0,40,6,55,0,0,0,0,0,0,0,"개화동로,김포한강로,금포로",7790,10,6.4
1641.24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로,방화대로,올림픽대로",6500,13,5.7
4878.24707,471,293,165,294,196,407,542,528,358,125,0,0,0,0,"남부순환로,올림픽대로,천호대로",31600,73,36
1122.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-,-,-",3800,1,0.014
4047.75,1121,348,274,177,169,174,0,0,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",31670,63,29
6150.36,58,97,46,31,6,51,22,31,0,0,0,0,0,0,"양천로,강서로,허준로",6100,14,4.6
3155.76,852,321,291,17,75,178,88,66,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",31170,63,29
-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,금낭화로",3800,4,0.6950000000000001
-0.08,320,140,21,80,140,60,0,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,올림픽대로",10900,23,11
0.05,20,0,20,0,0,0,0,0,0,0,0,0,0,0,"양천로27길,방화대로48길,방화대로",3800,3,0.605
-0.09,65,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,방화대로47길,방화대로47가길",3800,5,0.6970000000000001
0.01,19,20,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로47가길,금낭화로,양천로",3800,3,0.709
-0.01,100,121,0,40,0,0,0,0,0,0,0,0,0,0,"양천로,방화대로,올림픽대로",3800,5,1.7
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"올림픽대로,양천로,양천로27길",5700,12,4.3
0.09,40,40,21,0,0,0,0,0,0,0,0,0,0,0,"방화대로52길,방화대로,방화대로47길",3800,4,1.2
-0.02,60,0,0,20,21,62,20,40,0,0,0,0,0,0,"양천로,개화동로,자유로",11170,17,10
-0.01,59,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로47가길,금낭화로24길,금낭화로",3800,1,0.394
0.0,120,0,102,220,60,20,0,0,0,0,0,0,0,0,"방화대로47길,올림픽대로,올림픽대로",10400,22,11
0.09,49,0,0,0,0,0,0,0,0,0,0,0,0,0,"금낭화로,양천로16길,금낭화로",3800,5,0.9440000000000001
0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,"금낭화로24길,방화대로47가길,금낭화로26길",3800,3,0.52
